Feature,Mean absolute SHAP value
cat__proto_cphb,0.0
cat__proto_compaq-peer,0.0
cat__proto_chaos,0.0
cat__proto_cftp,0.0
cat__proto_cbt,0.0
cat__proto_br-sat-mon,0.0
cat__proto_bna,0.0
cat__proto_bbn-rcc,0.0
cat__proto_ax.25,0.0
cat__proto_aris,0.0
cat__proto_argus,0.0
cat__proto_gmtp,0.0
cat__proto_gre,0.0
cat__proto_i-nlsp,0.0
cat__proto_hmp,0.0
cat__proto_ib,0.0
cat__proto_iatp,0.0
cat__proto_idpr,0.0
cat__proto_idpr-cmtp,0.0
cat__proto_etherip,0.0
cat__proto_fc,0.0
cat__proto_irtp,0.0
cat__proto_ipx-n-ip,0.0
cat__proto_iso-tp4,0.0
cat__proto_isis,0.0
cat__proto_l2tp,0.0
cat__proto_larp,0.0
cat__proto_leaf-1,0.0
cat__proto_iso-ip,0.0
cat__proto_leaf-2,0.0
cat__proto_merit-inp,0.0
cat__proto_mhrp,0.0
cat__proto_mfe-nsp,0.0
cat__proto_micp,0.0
cat__proto_mtp,0.0
cat__proto_fire,0.0
cat__proto_ggp,0.0
cat__proto_igp,0.0
cat__proto_il,0.0
cat__proto_ip,0.0
cat__proto_ipcomp,0.0
cat__proto_ipcv,0.0
cat__proto_ipip,0.0
cat__proto_iplt,0.0
cat__proto_ipnip,0.0
cat__proto_ippc,0.0
cat__proto_ipv6,0.0
cat__proto_ipv6-frag,0.0
cat__proto_ipv6-no,0.0
cat__proto_ipv6-opts,0.0
cat__proto_ipv6-route,0.0
cat__proto_idrp,0.0
cat__proto_ifmp,0.0
cat__proto_rsvp,0.0
cat__proto_rdp,0.0
cat__proto_qnx,0.0
cat__proto_pvp,0.0
cat__proto_pup,0.0
cat__proto_ptp,0.0
cat__proto_prm,0.0
cat__proto_pri-enc,0.0
cat__proto_pnni,0.0
cat__proto_pipe,0.0
cat__proto_pim,0.0
cat__proto_pgm,0.0
cat__proto_nvp,0.0
cat__proto_nsfnet-igp,0.0
cat__proto_netblt,0.0
cat__proto_narp,0.0
cat__proto_kryptolan,0.0
cat__proto_mux,0.0
cat__proto_sps,0.0
cat__proto_smp,0.0
cat__proto_sm,0.0
cat__proto_sprite-rpc,0.0
cat__proto_snp,0.0
cat__proto_sat-expak,0.0
cat__proto_sdrp,0.0
cat__proto_secure-vmtp,0.0
cat__proto_skip,0.0
cat__proto_rtp,0.0
cat__proto_sat-mon,0.0
cat__proto_sccopmce,0.0
cat__proto_scps,0.0
cat__proto_rvd,0.0
cat__proto_vines,0.0
cat__proto_uti,0.0
cat__proto_trunk-2,0.0
cat__proto_ttp,0.0
cat__proto_trunk-1,0.0
cat__proto_tp++,0.0
cat__proto_tcf,0.0
cat__proto_tlsp,0.0
cat__proto_srp,0.0
cat__proto_stp,0.0
cat__proto_st2,0.0
cat__proto_xnet,0.0
cat__proto_xns-idp,0.0
cat__proto_visa,0.0
cat__proto_vrrp,0.0
cat__proto_vmtp,0.0
cat__proto_zero,0.0
cat__proto_xtp,0.0
cat__service_dhcp,0.0
cat__proto_wb-expak,0.0
cat__proto_wb-mon,0.0
cat__proto_wsn,0.0
cat__service_pop3,0.0
cat__service_irc,0.0
cat__service_ssl,0.0
cat__service_ssh,0.0
cat__service_snmp,0.0
cat__service_radius,0.0
cat__state_PAR,0.0
cat__state_REQ,0.0
cat__state_URN,0.0
cat__state_no,0.0
